id,start_date,end_date,associate_id,entity,department,division,sub_division,position,job,work_location,cost_center,region,level,is_active,updated_on,external_ref_id,org_code,is_org_head,grade,country,base_work_location,work_permit_status,is_mezzanine_member,is_mtm_member
"12891","2017-08-07 00:00:00","2023-04-02 00:00:00","1491","1","1413","4","8","156","16","1","CKTXXXTER",\N,"4","1","2024-07-05 10:52:32",\N,"21412","1",\N,"4",\N,\N,"0","0"
"12892","2017-08-07 00:00:00","2023-07-25 00:00:00","1493","1","1057","2","11","17","16","1","CKTXXXOHO",\N,"6","1","2024-07-05 10:52:32",\N,"21057","1",\N,"4",\N,\N,"0","0"
"12893","2017-08-07 00:00:00","2023-04-02 00:00:00","1496","1","1411","4","8","156","16","2","CKTXXXTER",\N,"4","1","2024-07-05 10:52:32",\N,"21410","1",\N,"4",\N,\N,"0","0"
"12894","2017-08-07 00:00:00","2023-04-02 00:00:00","1497","1","1412","4","8","156","16","1","CKTXXXTER",\N,"4","1","2024-07-05 10:52:32",\N,"21411","1",\N,"4",\N,\N,"0","0"
"12895","2017-08-07 00:00:00","2024-01-11 00:00:00","1498","1","1458","3","27","226","15","3","CKTKUKBDM",\N,"7","1","2024-07-05 10:52:32",\N,"21456","1",\N,"4",\N,\N,"0","0"
"12896","2017-08-14 00:00:00","2024-01-04 00:00:00","1499","1","18","2","11","27","9","1","CKTXXXOHO",\N,"4","1","2024-07-05 10:52:32",\N,"20018","1",\N,"4",\N,\N,"0","0"
"12897","2017-09-27 00:00:00","2024-09-19 00:00:00","1513","1","329","3","22","117","2","8","CKTKMNSBU","2","4","1","2024-09-20 06:56:42",\N,"20329","1",\N,"4",\N,\N,"0","0"
"12898","2017-10-01 00:00:00","2023-11-22 00:00:00","1528","1","75","3","25","135","15","8","KSXXXXFIN",\N,"7","1","2024-07-05 10:52:32",\N,"20075","0",\N,"4",\N,\N,"0","0"
"12899","2017-11-08 00:00:00","2024-01-04 00:00:00","1529","1","1178","2","11","17","14","8","CKTXXXOHO",\N,"6","1","2024-07-05 10:52:32",\N,"21176","1",\N,"4",\N,\N,"0","0"
"12900","2017-11-27 00:00:00","2023-05-02 00:00:00","1536","1","914","3","27","226","15","8","KSXXXXBDM",\N,"7","1","2024-07-05 10:52:32",\N,"20914","0",\N,"4",\N,\N,"0","0"
"12901","2017-11-27 00:00:00","2023-05-23 00:00:00","1539","1","1489","3","27","226","15","10","CKTXXXMGT",\N,"7","1","2024-07-05 10:52:32",\N,"21488","0",\N,"4",\N,\N,"0","0"
"12902","2017-11-27 00:00:00","2023-02-07 00:00:00","1540","1","1653","2","11","17","16","3","CKTXXXOHO",\N,"6","1","2024-07-05 10:52:32",\N,"21643","1",\N,"4",\N,\N,"0","0"
"12903","2017-11-27 00:00:00","2023-02-21 00:00:00","1545","1","1466","3","10","116","78","5","CKTXXXPMO",\N,"5","1","2024-08-30 16:24:35",\N,"21465","0",\N,"4",\N,\N,"0","0"
"12904","2017-11-27 00:00:00","2021-02-27 00:00:00","1556","1","971","3","27","226","15","0","KSXXXXBDM",\N,"7","1","2024-07-05 10:52:32",\N,"20971","0",\N,"4",\N,\N,"0","0"
"12905","2017-11-27 00:00:00","2023-04-10 00:00:00","1560","1","1065","3","23","236","15","1","CKTXXXMGT",\N,"4","1","2024-07-05 10:52:32",\N,"21065","1",\N,"4",\N,\N,"0","0"
"12906","2008-10-01 00:00:00","2023-03-23 00:00:00","1573","1","324","3","12","92","2","18","CKTKUMSBU",\N,"3","1","2025-03-31 06:00:43",\N,"20324","1",\N,"4",\N,\N,"0","0"
"12907","2017-12-27 00:00:00","2023-02-21 00:00:00","1581","1","1155","3","10","116","10","1","CKTXXXPMO",\N,"5","1","2024-08-30 16:24:35",\N,"21154","1",\N,"4",\N,\N,"0","0"
"12908","2018-01-03 00:00:00","2023-01-31 00:00:00","1584","1","1152","3","38","156","17","2","CKTXXXOHO",\N,"4","1","2024-07-05 10:52:32",\N,"21771","1",\N,"4",\N,\N,"0","0"
"12909","2018-07-02 00:00:00","2023-10-31 00:00:00","1585","1","35","3","25","156","17","2","CKTFINCBF",\N,"4","1","2024-07-05 10:52:32",\N,"20035","1",\N,"4",\N,\N,"0","0"
"12910","2018-01-03 00:00:00","2023-02-21 00:00:00","1586","1","1467","3","10","116","78","7","CKTXXXPMO",\N,"5","1","2024-08-30 16:24:35",\N,"21466","0",\N,"4",\N,\N,"0","0"
"12911","2018-01-03 00:00:00","2023-03-26 00:00:00","1588","1","1023","3","24","44","17","2","CKTXXXMGT",\N,"7","1","2024-07-05 10:52:32",\N,"21023","0",\N,"4",\N,\N,"0","0"
"12912","2018-01-08 00:00:00","2025-04-11 00:00:00","1603","1","916","3","24","234","21","2","CKTKEUSBU","7","7","1","2025-04-14 10:26:59",\N,"20916","0",\N,"4",\N,\N,"0","0"
"12913","2018-01-31 00:00:00","2023-02-21 00:00:00","1608","1","1467","3","10","116","39","20","CKTXXXPMO",\N,"5","1","2024-07-05 10:52:32",\N,"21466","0",\N,"4",\N,\N,"0","0"
"12914","2018-02-14 00:00:00","2024-01-04 00:00:00","1617","1","1108","2","11","17","14","18","CKTXXXOHO",\N,"6","1","2024-07-05 10:52:32",\N,"21108","1",\N,"4",\N,\N,"0","0"
